Longitude, Latitude, Line Group (Path ID), Order of Points 
-122.03948585714285, 37.58217957142857, 1, 108
-122.04818117647058, 37.59178282352941, 1, 109
-122.05711486666668, 37.584145066666665, 1, 110
-122.068416, 37.585316999999996, 1, 111
-122.07597647058823, 37.587836352941174, 1, 112
-122.08283157142857, 37.59620552380952, 1, 113
-122.08599096153847, 37.580005115384616, 1, 114
-122.07519566666667, 37.57827483333333, 1, 115
-122.07389638888887, 37.57010038888889, 1, 116
-122.04177765517241, 37.601776413793104, 1, 117
-122.07402885000003, 37.60584545, 1, 118
-122.06050249999998, 37.61758854761905, 1, 119
-122.0615539, 37.6266376, 1, 120
-122.07577976923076, 37.624980384615384, 1, 121
-122.0809098, 37.63595813333333, 1, 122
-122.08795166666668, 37.64276641666666, 1, 123
-122.07932336363638, 37.643708545454544, 1, 124
-122.073556, 37.638254818181814, 1, 125
-122.07088799999998, 37.63564, 1, 126
-122.0699758888889, 37.64400966666667, 1, 127
-122.06116533333334, 37.643675916666666, 1, 128
-122.03541322033895, 37.636952237288135, 1, 129
-122.03895576470586, 37.61912747058824, 1, 130
-122.02949166666666, 37.62105376666666, 1, 131
-122.08538657142856, 37.65127278571428, 1, 132
-122.07962084615386, 37.65784423076923, 1, 133
-122.06834522222222, 37.65951051851852, 1, 134
-122.04628828846154, 37.65476288461539, 1, 135
-122.09506400000001, 37.65397349999999, 1, 136
-122.10230892307692, 37.66325692307693, 1, 137
-122.11047450000001, 37.661479, 1, 138
-122.11005062500003, 37.6677941875, 1, 139
-122.11266287999999, 37.67615460000001, 1, 140
-122.11316822580648, 37.68778151612903, 1, 141
-122.11153057894738, 37.69288594736843, 1, 142
-122.11410330769232, 37.69887153846154, 1, 143
-122.1081821632653, 37.70568771428571, 1, 144
-122.09744706666665, 37.70404223333333, 1, 145
-122.08305019230768, 37.68442819230769, 1, 146
-122.0781803888889, 37.69326283333333, 1, 147
-122.06336262499998, 37.699602166666665, 1, 148
-122.06154852499996, 37.722644175, 1, 149
-122.08503289285714, 37.722474749999996, 1, 150
-122.08436147368421, 37.706221, 1, 151
-122.0820440625, 37.69858675, 1, 152
-122.10640073684212, 37.72207618421052, 1, 153
-122.06778800000001, 37.68683352380952, 1, 154
-122.0531177777778, 37.68783322222221, 1, 155
-121.97522753299494, 37.644558116751284, 1, 156
-122.02833928169017, 37.721227859154915, 1, 157
-121.93692020279717, 37.6522625104895, 1, 158
-121.91119929268291, 37.66626865853657, 1, 159
-121.91005004761902, 37.689188, 1, 160
-121.89453827272727, 37.69278463636363, 1, 161
-121.86511560000001, 37.69754264999999, 1, 162
-121.85998093333332, 37.70590813333333, 1, 163
-121.84872255769231, 37.71944571153846, 1, 164
-121.8400567887324, 37.72597877464789, 1, 165
-121.76554695890408, 37.72446194520549, 1, 166
-121.89918044999997, 37.66929085000001, 1, 167
-121.88296309523813, 37.67183433333334, 1, 168
-121.86969676470589, 37.671559058823526, 1, 169
-121.85474608695655, 37.684673695652165, 1, 170
-121.89020931578943, 37.680737105263155, 1, 171
-121.88264348387098, 37.65705848387097, 1, 172
-121.86626865217394, 37.65979669565218, 1, 173
-121.83766134285712, 37.6611305142857, 1, 174
-121.80030052941174, 37.66635517647058, 1, 175
-121.78865191666667, 37.67251191666666, 1, 176
